time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-03-01T03:46:58.490Z,-6.4046,142.917,10,4.5,mb,,81,5.152,0.55,us,us2000d9ir,2018-03-01T04:00:49.040Z,"85km WSW of Mendi, Papua New Guinea",earthquake,8.9,2,0.164,11,reviewed,us,us
2018-03-01T03:17:06.720Z,0.9907,98.7242,71.02,5.2,mww,,47,1.189,1.13,us,us2000d9i7,2018-03-01T03:31:02.040Z,"73km SW of Padangsidempuan, Indonesia",earthquake,6.3,5.7,0.075,17,reviewed,us,us
2018-03-01T01:35:49.970Z,1.0302,98.7423,69.89,5.1,mww,,31,1.197,1.24,us,us2000d9h8,2018-03-01T03:48:15.040Z,"69km WSW of Padangsidempuan, Indonesia",earthquake,3.3,4,0.073,18,reviewed,us,us
2018-03-01T00:22:11.390Z,-6.0923,142.5738,10,4.6,mb,,102,5.61,0.64,us,us2000d9gj,2018-03-01T03:47:18.040Z,"97km SW of Porgera, Papua New Guinea",earthquake,7,1.8,0.112,24,reviewed,us,us
2018-02-28T22:28:32.890Z,-6.2065,143.2584,10,4.5,mb,,109,5.003,0.89,us,us2000d9ff,2018-02-28T23:12:35.040Z,"43km W of Mendi, Papua New Guinea",earthquake,9.4,1.7,0.121,20,reviewed,us,us
2018-02-28T19:00:18.570Z,-6.1481,142.7452,21.15,4.7,mb,,47,5.44,0.65,us,us2000d99x,2018-02-28T23:24:53.040Z,"90km SSW of Porgera, Papua New Guinea",earthquake,9.3,5.4,0.057,93,reviewed,us,us
2018-02-28T16:45:59.250Z,37.6219,73.1116,22.94,4.5,mb,,79,2.079,0.78,us,us2000d97e,2018-02-28T22:56:32.040Z,"96km SW of Murghob, Tajikistan",earthquake,6.9,5.8,0.075,52,reviewed,us,us
2018-02-28T16:21:56.840Z,-22.3985,171.008,16.53,5.1,mww,,112,2.911,1.02,us,us2000d96y,2018-02-28T16:45:02.040Z,"107km W of Ile Hunter, New Caledonia",earthquake,12.6,5.1,0.073,18,reviewed,us,us
2018-02-28T16:15:32.580Z,-57.9132,-25.4062,35,4.9,mb,,52,7.184,0.9,us,us2000d96v,2018-02-28T22:46:04.040Z,"140km NNE of Bristol Island, South Sandwich Islands",earthquake,11.8,1.9,0.089,40,reviewed,us,us
2018-02-28T15:53:17.020Z,-1.431,120.218,37.68,4.5,mb,,69,2.582,0.63,us,us2000d96k,2018-02-28T22:10:32.040Z,"48km W of Kasiguncu, Indonesia",earthquake,7.2,9.3,0.113,23,reviewed,us,us
2018-02-28T14:45:21.080Z,-6.0618,142.7611,10,4.8,mb,,30,5.479,0.92,us,us2000d95l,2018-02-28T22:17:47.666Z,"81km SW of Porgera, Papua New Guinea",earthquake,8.5,1.9,0.079,49,reviewed,us,us
2018-02-28T14:00:56.140Z,-6.0958,142.453,10,5,mb,,29,5.705,1.26,us,us2000d954,2018-02-28T14:20:21.040Z,"108km SW of Porgera, Papua New Guinea",earthquake,7.9,1.9,0.074,58,reviewed,us,us
2018-02-28T11:35:16.380Z,-6.0001,142.4684,10,4.8,mb,,106,6.27,1.02,us,us2000d941,2018-02-28T11:53:23.040Z,"100km SW of Porgera, Papua New Guinea",earthquake,7.1,1.7,0.072,60,reviewed,us,us
2018-02-28T09:44:58.680Z,38.2026,144.5814,10,4.6,mb,,139,3.012,0.98,us,us2000d936,2018-02-28T10:16:15.040Z,"262km ESE of Kamaishi, Japan",earthquake,7.8,1.9,0.05,119,reviewed,us,us
2018-02-28T06:15:15.200Z,-6.8457,129.8016,166.18,4.7,mb,,87,1.865,1.08,us,us2000d91j,2018-02-28T06:35:26.040Z,"207km NW of Saumlaki, Indonesia",earthquake,8.7,8.1,0.106,27,reviewed,us,us
2018-02-28T05:22:12.650Z,-6.1579,142.4845,10,5.2,mb,,41,5.644,0.91,us,us2000d91e,2018-02-28T05:43:52.040Z,"110km SW of Porgera, Papua New Guinea",earthquake,8.1,1.8,0.065,79,reviewed,us,us
2018-02-28T04:53:18.690Z,-6,128.7142,308.29,4.7,mb,,180,3.234,0.5,us,us2000d919,2018-02-28T05:44:43.040Z,"259km SSE of Amahusu, Indonesia",earthquake,10.8,16.5,0.247,5,reviewed,us,us
2018-02-28T04:14:31.710Z,-6.0891,142.5035,10,4.8,mb,,82,5.668,1.09,us,us2000d913,2018-02-28T04:29:37.040Z,"103km SW of Porgera, Papua New Guinea",earthquake,8.4,1.9,0.093,36,reviewed,us,us
2018-02-28T03:30:37.490Z,-6.1859,142.4519,10,4.9,mb,,75,5.655,0.83,us,us2000d90v,2018-02-28T03:42:44.040Z,"114km SW of Porgera, Papua New Guinea",earthquake,4.8,1.9,0.122,21,reviewed,us,us
2018-02-28T02:45:45.460Z,-6.1817,142.4918,16,6.1,mww,,19,5.625,1.21,us,us2000d90d,2018-02-28T21:37:55.161Z,"111km SW of Porgera, Papua New Guinea",earthquake,6.9,1.7,0.054,33,reviewed,us,us
2018-02-28T00:18:51.000Z,-6.3072,143.1969,10,4.7,mb,,104,4.988,0.63,us,us2000d8xs,2018-02-28T00:35:05.040Z,"52km WSW of Mendi, Papua New Guinea",earthquake,10,1.9,0.087,40,reviewed,us,us
2018-02-27T23:59:53.080Z,-6.2562,142.9929,10,4.9,mb,,50,5.179,1,us,us2000d8xf,2018-02-28T00:20:43.040Z,"73km W of Mendi, Papua New Guinea",earthquake,4.9,1.9,0.083,45,reviewed,us,us
2018-02-27T22:57:31.570Z,37.6306,141.7225,38.74,4.6,mb,,135,0.776,0.84,us,us2000d8wj,2018-02-27T23:47:03.183Z,"65km ENE of Namie, Japan",earthquake,6.5,6.8,0.077,50,reviewed,us,us
2018-02-27T21:52:05.250Z,-26.4267,-114.3493,10,4.7,mb,,160,38.654,0.58,us,us2000d8vp,2018-02-27T22:14:16.040Z,"Easter Island region",earthquake,7.3,1.9,0.086,41,reviewed,us,us
2018-02-27T20:11:04.060Z,-6.2206,142.8279,10,5.2,mb,,19,5.331,0.78,us,us2000d8u9,2018-02-28T17:28:22.155Z,"91km W of Mendi, Papua New Guinea",earthquake,7.2,1.7,0.044,171,reviewed,us,us
2018-02-27T18:30:54.660Z,-6.0843,142.6128,10,4.5,mb,,77,5.584,1.12,us,us2000d8td,2018-02-28T15:38:05.529Z,"94km SW of Porgera, Papua New Guinea",earthquake,8.6,1.9,0.079,47,reviewed,us,us
2018-02-27T17:29:22.590Z,-60.2489,150.7706,10,6.1,mww,,37,7.263,1.03,us,us2000d8rl,2018-02-28T15:13:11.111Z,"West of Macquarie Island",earthquake,9.4,1.7,0.063,24,reviewed,us,us
2018-02-27T16:19:53.880Z,-6.0855,142.8469,10,5.2,mb,,33,5.397,0.85,us,us2000d8r4,2018-02-27T17:50:36.040Z,"78km SSW of Porgera, Papua New Guinea",earthquake,8.4,1.8,0.045,162,reviewed,us,us
2018-02-27T15:27:07.770Z,-6.4128,143.2841,10,4.5,mb,,85,4.855,0.74,us,us2000d8qt,2018-02-27T16:07:35.040Z,"48km WSW of Mendi, Papua New Guinea",earthquake,9.5,1.9,0.121,20,reviewed,us,us
2018-02-27T14:20:39.720Z,-2.817,-79.7752,10,4.5,mb,,95,0.623,0.9,us,us2000d8qa,2018-02-27T15:52:22.040Z,"11km NNE of Balao, Ecuador",earthquake,3.2,1.8,0.111,24,reviewed,us,us
2018-02-27T14:11:18.610Z,-6.3589,142.9858,14.45,5,mb,,56,5.123,0.74,us,us2000d8q9,2018-02-27T17:54:04.040Z,"76km WSW of Mendi, Papua New Guinea",earthquake,9.2,4.4,0.082,47,reviewed,us,us
2018-02-27T13:58:27.080Z,-6.3793,143.203,14.7,5,mww,,28,4.939,0.67,us,us2000d8q3,2018-02-27T16:07:21.727Z,"54km WSW of Mendi, Papua New Guinea",earthquake,5.7,3.7,0.075,17,reviewed,us,us
2018-02-27T13:28:47.610Z,-6.2707,142.7402,10,4.6,mb,,98,5.372,0.69,us,us2000d8q0,2018-02-27T14:38:09.040Z,"101km W of Mendi, Papua New Guinea",earthquake,11.9,1.9,0.122,20,reviewed,us,us
2018-02-27T12:29:52.630Z,-17.7801,-177.9639,532.71,4.8,mb,,137,7.088,0.87,us,us2000d8pu,2018-02-27T12:43:24.040Z,"Fiji region",earthquake,17.5,12.1,0.116,23,reviewed,us,us
2018-02-27T10:49:55.990Z,-6.3147,143.5327,21.1,4.9,mb,,89,4.726,1.14,us,us2000d8pf,2018-02-27T12:43:51.040Z,"20km SW of Mendi, Papua New Guinea",earthquake,8,6.1,0.073,59,reviewed,us,us
2018-02-27T10:33:45.290Z,-6.4194,143.2525,20.86,4.9,mb,,79,4.875,1.57,us,us2000d8pb,2018-02-27T12:47:43.040Z,"51km WSW of Mendi, Papua New Guinea",earthquake,6.5,6.2,0.079,51,reviewed,us,us
2018-02-27T08:07:02.420Z,-19.6512,169.0188,55.87,4.7,mb,,107,2.011,0.97,us,us2000d8nj,2018-02-27T08:21:39.040Z,"28km WSW of Isangel, Vanuatu",earthquake,11.3,8.8,0.108,26,reviewed,us,us
2018-02-27T07:19:23.350Z,-6.3225,142.7909,10,5.2,mb,,51,5.301,0.89,us,us2000d8nf,2018-02-27T07:37:19.040Z,"96km W of Mendi, Papua New Guinea",earthquake,7.3,1.6,0.06,93,reviewed,us,us
2018-02-27T06:19:12.240Z,-6.4178,143.0483,10,5.6,mww,,34,5.038,1.29,us,us2000d8my,2018-02-27T17:25:19.040Z,"71km WSW of Mendi, Papua New Guinea",earthquake,7.6,1.9,0.061,26,reviewed,us,us
2018-02-27T05:51:26.990Z,-6.4679,143.0884,10,4.8,mb,,116,4.977,0.84,us,us2000d8ms,2018-02-27T06:03:01.040Z,"70km WSW of Mendi, Papua New Guinea",earthquake,6.7,2,0.167,11,reviewed,us,us
2018-02-27T05:35:37.190Z,-5.7415,142.3015,10,4.9,mb,,45,6.036,0.86,us,us2000d8mm,2018-02-27T05:58:08.026Z,"104km WSW of Porgera, Papua New Guinea",earthquake,7.9,1.9,0.095,35,reviewed,us,us
2018-02-27T05:17:58.320Z,-18.8524,169.2939,196.49,5.5,mww,,102,2.721,0.91,us,us2000d8mh,2018-02-27T21:05:42.040Z,"77km N of Isangel, Vanuatu",earthquake,8.4,4.5,0.073,18,reviewed,us,us
2018-02-27T03:40:11.470Z,-2.8834,-79.7642,10,4.7,mb,,95,0.654,0.85,us,us2000d8lq,2018-02-27T23:04:39.477Z,"6km ENE of Balao, Ecuador",earthquake,6.5,1.9,0.052,111,reviewed,us,us
2018-02-27T02:31:04.019Z,53.324,-164.2223,15.7,4.5,ml,,,,0.45,ak,ak18554610,2018-02-27T02:58:19.917Z,"136km SE of Akutan, Alaska",earthquake,,3.3,,,reviewed,ak,ak
2018-02-27T02:15:07.930Z,-6.5309,143.2716,10,5.2,mb,,84,4.793,1.02,us,us2000d8k4,2018-02-27T05:36:51.666Z,"57km SW of Mendi, Papua New Guinea",earthquake,8.6,1.9,0.095,36,reviewed,us,us
2018-02-27T01:31:06.470Z,49.562,155.7885,57.07,4.6,mb,,126,3.747,0.96,us,us2000d8jt,2018-02-27T01:42:18.040Z,"126km S of Severo-Kuril'sk, Russia",earthquake,8,7.6,0.075,53,reviewed,us,us
2018-02-27T00:55:22.590Z,-6.0456,142.6355,10,5,mb,,29,5.588,1,us,us2000d8jk,2018-02-27T08:58:00.339Z,"89km SW of Porgera, Papua New Guinea",earthquake,7.6,1.9,0.064,77,reviewed,us,us
2018-02-27T00:08:13.280Z,-6.4713,143.3485,10,5.1,mb,,26,4.769,1.48,us,us2000d8j8,2018-02-27T00:30:37.040Z,"46km SW of Mendi, Papua New Guinea",earthquake,7.2,1.7,0.058,96,reviewed,us,us
2018-02-27T00:05:14.500Z,-6.2332,143.1081,10,4.5,mb,,101,5.102,0.98,us,us2000d8j3,2018-02-27T00:23:42.040Z,"60km W of Mendi, Papua New Guinea",earthquake,4.2,1.9,0.102,28,reviewed,us,us
2018-02-26T23:31:43.990Z,-28.3617,-67.5128,123.76,4.9,mb,,27,2.09,0.62,us,us2000d8if,2018-02-26T23:58:42.040Z,"33km S of Tinogasta, Argentina",earthquake,6.6,6,0.026,469,reviewed,us,us
2018-02-26T22:16:56.330Z,-5.965,142.4064,10,4.8,mb,,31,5.819,1.09,us,us2000d8ha,2018-02-26T22:42:33.040Z,"103km WSW of Porgera, Papua New Guinea",earthquake,8.5,1.9,0.095,34,reviewed,us,us
2018-02-26T22:02:30.210Z,-6.2246,142.546,10,4.7,mb,,80,5.556,1.16,us,us2000d8gv,2018-02-26T22:35:04.040Z,"110km SW of Porgera, Papua New Guinea",earthquake,7.9,1.9,0.13,18,reviewed,us,us
2018-02-26T21:52:36.940Z,-6.3587,142.8545,10,5,mb,,30,5.229,0.92,us,us2000d8gk,2018-02-26T22:31:13.040Z,"90km WSW of Mendi, Papua New Guinea",earthquake,5.8,1.8,0.071,63,reviewed,us,us
2018-02-26T21:00:27.730Z,-42.8091,-82.4063,10,4.8,mb,,200,7.263,0.9,us,us2000d8f2,2018-02-26T22:17:42.040Z,"West Chile Rise",earthquake,12.2,2,0.077,52,reviewed,us,us
2018-02-26T19:21:51.820Z,-6.4892,143.4601,22.52,5.1,mb,,26,4.67,1.34,us,us2000d8dl,2018-02-27T15:19:52.040Z,"40km SSW of Mendi, Papua New Guinea",earthquake,8,4.2,0.05,130,reviewed,us,us
2018-02-26T18:28:03.530Z,-6.036,142.7017,20,5.4,mww,,19,5.542,1,us,us2000d8bx,2018-02-27T15:33:06.352Z,"83km SW of Porgera, Papua New Guinea",earthquake,5.1,1.8,0.069,20,reviewed,us,us
2018-02-26T17:58:05.240Z,-5.9412,142.4853,19.39,4.5,mb,,48,5.77,1.06,us,us2000d8be,2018-02-27T15:55:36.040Z,"94km WSW of Porgera, Papua New Guinea",earthquake,8.4,4.3,0.081,45,reviewed,us,us
2018-02-26T17:41:15.710Z,-5.7791,142.5541,10,5.2,mb,,28,5.815,0.82,us,us2000d8au,2018-02-27T16:39:27.040Z,"79km WSW of Porgera, Papua New Guinea",earthquake,8,1.8,0.055,110,reviewed,us,us
2018-02-26T15:17:59.470Z,-6.495,143.255,13.81,6.2,mww,,19,4.828,0.9,us,us2000d867,2018-02-26T23:39:06.019Z,"56km SW of Mendi, Papua New Guinea",earthquake,4.1,3.1,0.048,41,reviewed,us,us
2018-02-26T13:34:53.480Z,-2.7732,126.6953,8.42,6.1,mww,,38,3.584,0.77,us,us2000d855,2018-02-26T20:45:42.143Z,"45km NE of Airbuaya, Indonesia",earthquake,6.8,2.8,0.048,41,reviewed,us,us
2018-02-26T13:15:00.090Z,8.415,-83.2433,15.11,4.9,mb,,182,0.075,0.61,us,us2000d84z,2018-02-27T19:52:05.499Z,"26km SSW of Golfito, Costa Rica",earthquake,6.7,2.2,0.059,91,reviewed,us,us
2018-02-26T12:49:45.970Z,-6.2977,143.1497,38.32,4.8,mb,,51,5.03,0.79,us,us2000d84n,2018-02-26T13:07:15.040Z,"57km WSW of Mendi, Papua New Guinea",earthquake,4.8,8,0.096,34,reviewed,us,us
2018-02-26T12:34:54.350Z,-6.3147,143.3448,26.7,5.2,mb,,38,4.869,0.94,us,us2000d84y,2018-02-26T13:20:33.040Z,"37km WSW of Mendi, Papua New Guinea",earthquake,9.5,4.1,0.055,108,reviewed,us,us
2018-02-26T12:29:30.730Z,-6.297,143.2469,40.01,5,mb,,30,4.955,0.99,us,us2000d84e,2018-02-26T12:46:57.040Z,"46km WSW of Mendi, Papua New Guinea",earthquake,7.9,8.4,0.081,49,reviewed,us,us
2018-02-26T11:56:07.450Z,-6.5004,143.5538,13.33,5.7,mww,,20,4.591,0.91,us,us2000d83z,2018-02-26T20:27:14.040Z,"37km SSW of Mendi, Papua New Guinea",earthquake,5,4.1,0.073,18,reviewed,us,us
2018-02-26T11:04:12.280Z,-6.1569,143.047,22.31,4.7,mb,,103,5.197,0.94,us,us2000d83g,2018-02-26T11:25:07.040Z,"66km W of Mendi, Papua New Guinea",earthquake,10.7,6.8,0.096,33,reviewed,us,us
2018-02-26T11:00:17.100Z,-6.3805,143.2632,33.05,4.9,mb,,80,4.891,0.95,us,us2000d83d,2018-02-26T11:29:42.040Z,"48km WSW of Mendi, Papua New Guinea",earthquake,8.3,5.7,0.08,49,reviewed,us,us
2018-02-26T10:20:01.180Z,-6.4743,143.4644,49,4.7,mb,,87,4.676,1.12,us,us2000d839,2018-02-26T12:20:47.040Z,"38km SSW of Mendi, Papua New Guinea",earthquake,6.2,7.7,0.093,35,reviewed,us,us
2018-02-26T10:07:48.420Z,-6.2669,142.8408,35.9,4.8,mb,,48,5.293,1.24,us,us2000d82h,2018-02-26T11:54:33.040Z,"90km W of Mendi, Papua New Guinea",earthquake,5.8,9,0.101,30,reviewed,us,us
2018-02-26T09:28:18.140Z,-6.4259,142.9475,50.46,4.9,mb,,80,5.115,1.49,us,us2000d81t,2018-02-26T10:02:23.040Z,"82km WSW of Mendi, Papua New Guinea",earthquake,8.9,3.2,0.098,33,reviewed,us,us
2018-02-26T09:19:43.850Z,-6.3315,142.8392,60.3,5,mb,,48,5.257,1.16,us,us2000d81l,2018-02-26T09:39:31.040Z,"91km W of Mendi, Papua New Guinea",earthquake,8.4,7.8,0.068,69,reviewed,us,us
2018-02-26T08:26:59.340Z,-6.4274,143.2706,23.64,6,mww,,39,4.856,1.01,us,us2000d80x,2018-02-26T20:34:56.040Z,"50km WSW of Mendi, Papua New Guinea",earthquake,7.4,4.8,0.073,18,reviewed,us,us
2018-02-26T07:41:04.820Z,-6.3073,142.8372,35,4.6,mb,,95,5.273,0.81,us,us2000d80b,2018-02-26T10:00:21.040Z,"91km W of Mendi, Papua New Guinea",earthquake,11.1,2,0.068,65,reviewed,us,us
2018-02-26T07:01:49.200Z,-6.1196,142.6353,35,5.1,mb,,50,5.545,1.51,us,us2000d7zv,2018-02-26T07:23:13.040Z,"95km SW of Porgera, Papua New Guinea",earthquake,8.4,2,0.055,108,reviewed,us,us
2018-02-26T06:27:50.610Z,-6.1585,142.6275,32.38,4.6,mb,,77,5.528,0.46,us,us2000d7zh,2018-02-26T09:44:25.040Z,"99km SW of Porgera, Papua New Guinea",earthquake,10,6.1,0.073,56,reviewed,us,us
2018-02-26T06:26:56.490Z,-15.0883,-71.5428,113.69,4.7,mb,,87,3.496,1.42,us,us2000d7zf,2018-02-26T09:03:32.040Z,"46km N of Ccolo, Peru",earthquake,7.5,6,0.051,116,reviewed,us,us
2018-02-26T05:28:01.740Z,-6.2495,142.7798,10.81,5,mb,,54,5.353,1.31,us,us2000d7ym,2018-02-26T06:02:56.854Z,"96km W of Mendi, Papua New Guinea",earthquake,6.9,4.2,0.069,67,reviewed,us,us
2018-02-26T05:20:13.930Z,-6.4864,142.5832,35,4.8,mb,,75,5.38,0.83,us,us2000d7yl,2018-02-26T08:29:58.040Z,"123km WSW of Mendi, Papua New Guinea",earthquake,10,2,0.062,80,reviewed,us,us
2018-02-26T04:54:00.940Z,-6.344,143.4677,35,4.7,mb,,88,4.756,1.21,us,us2000d7yf,2018-02-26T05:11:50.040Z,"27km SW of Mendi, Papua New Guinea",earthquake,9.7,2,0.106,27,reviewed,us,us
2018-02-26T04:41:02.340Z,-5.4195,151.8309,35,5.6,mww,,60,1.264,1.1,us,us2000d7y3,2018-02-26T14:30:26.040Z,"127km SSW of Kokopo, Papua New Guinea",earthquake,6.2,2,0.071,19,reviewed,us,us
2018-02-26T04:37:07.160Z,-6.2925,143.0061,27.32,4.8,mb,,81,5.147,0.89,us,us2000d7xx,2018-02-26T05:02:42.040Z,"72km W of Mendi, Papua New Guinea",earthquake,9.9,6.1,0.087,41,reviewed,us,us
2018-02-26T03:12:57.810Z,-6.1221,143.0201,35,5.2,mb,,50,5.24,0.94,us,us2000d7ws,2018-02-26T03:33:00.040Z,"70km W of Mendi, Papua New Guinea",earthquake,5,1.9,0.054,114,reviewed,us,us
2018-02-26T03:10:59.570Z,-6.3033,142.9725,35,5,mb,,72,5.167,0.81,us,us2000d7wl,2018-02-26T03:37:07.040Z,"76km W of Mendi, Papua New Guinea",earthquake,4.8,1.9,0.092,38,reviewed,us,us
2018-02-26T02:31:52.950Z,-6.4513,143.2979,21.44,4.8,mb,,60,4.82,0.75,us,us2000d7wf,2018-02-26T02:58:55.040Z,"49km SW of Mendi, Papua New Guinea",earthquake,9.6,2.8,0.124,20,reviewed,us,us
2018-02-26T02:25:34.980Z,-6.3056,142.9533,35,5,mb,,42,5.181,1.25,us,us2000d7wa,2018-02-26T02:49:42.040Z,"78km W of Mendi, Papua New Guinea",earthquake,8.1,1.9,0.065,76,reviewed,us,us
2018-02-26T00:16:43.610Z,-6.2925,142.9705,35,4.6,mb,,97,5.175,0.77,us,us2000d7vk,2018-02-26T03:07:54.040Z,"76km W of Mendi, Papua New Guinea",earthquake,5.8,2,0.09,37,reviewed,us,us
2018-02-25T23:46:23.220Z,-6.5246,143.1539,27.93,4.6,mb,,77,4.891,0.72,us,us2000d7v9,2018-02-26T03:02:36.100Z,"67km SW of Mendi, Papua New Guinea",earthquake,9.5,5.8,0.093,35,reviewed,us,us
2018-02-25T23:07:27.680Z,-6.1535,143.128,35,4.6,mb,,65,5.137,0.83,us,us2000d7ux,2018-02-26T02:54:50.040Z,"57km W of Mendi, Papua New Guinea",earthquake,9,2,0.085,42,reviewed,us,us
2018-02-25T22:57:46.330Z,-6.3409,143.1137,35,5,mb,,41,5.032,0.61,us,us2000d7up,2018-02-26T00:35:23.040Z,"62km WSW of Mendi, Papua New Guinea",earthquake,8.4,1.9,0.071,64,reviewed,us,us
